Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
2234_190157_B_R12_6of6_Tturg_1x1_l_c,2234,Nikon,1x,1,190157,B,R12,Mid,6of6,External,Tturg,l,c
2235_190157_B_R12_6of6_Tturg_1x1_p_c,2235,Nikon,1x,1,190157,B,R12,Mid,6of6,External,Tturg,p,c
2236_190157_B_R22_1of2_Tturg_1x1_d_c,2236,Nikon,1x,1,190157,B,R22,Top,1of2,External,Tturg,d,c
2237_190157_B_R22_1of2_Tturg_1x1_l_c,2237,Nikon,1x,1,190157,B,R22,Top,1of2,External,Tturg,l,c
2238_190157_B_R22_2of2_Tturg_1x1_p_c,2238,Nikon,1x,1,190157,B,R22,Top,1of2,External,Tturg,p,c
2239_190157_B_R22_2of2_Tturg_1x1_d_c,2239,Nikon,1x,1,190157,B,R22,Top,2of2,External,Tturg,d,c
2240_190157_B_R22_2of2_Tturg_1x1_l_c,2240,Nikon,1x,1,190157,B,R22,Top,2of2,External,Tturg,l,c
2241_190157_B_R22_2of2_Tturg_1x1_p_c,2241,Nikon,1x,1,190157,B,R22,Top,2of2,External,Tturg,p,c
2242_190157_B_R23_1of1_Tturg_1x1_d_c,2242,Nikon,1x,1,190157,B,R23,Top,1of1,Solo,Tturg,d,c
2243_190157_B_R23_1of1_Tturg_1x1_l_c,2243,Nikon,1x,1,190157,B,R23,Top,1of1,Solo,Tturg,l,c
2244_190157_B_R23_1of2_Tturg_1x1_p_c,2244,Nikon,1x,1,190157,B,R23,Top,1of1,Solo,Tturg,p,c
2245_190157_C_R2_1of2_Tturg_1x1_d_c,2245,Nikon,1x,1,190157,C,R2,Base,1of2,External,Tturg,d,c
2246_190157_C_R2_1of2_Tturg_1x1_l_c,2246,Nikon,1x,1,190157,C,R2,Base,1of2,External,Tturg,l,c
2247_190157_C_R2_1of2_Tturg_1x1_p_c,2247,Nikon,1x,1,190157,C,R2,Base,1of2,External,Tturg,p,c
2248_190157_C_R2_2of2_Tturg_1x1_d_c,2248,Nikon,1x,1,190157,C,R2,Base,2of2,External,Tturg,d,c
2249_190157_C_R2_2of2_Tturg_1x1_l_c,2249,Nikon,1x,1,190157,C,R2,Base,2of2,External,Tturg,l,c
2250_190157_C_R2_4of5_Tturg_1x1_p_c,2250,Nikon,1x,1,190157,C,R2,Base,2of2,External,Tturg,p,c
2251_190157_C_R3_4of5_Tturg_1x1_d_c,2251,Nikon,1x,1,190157,C,R3,Base,4of5,Internal,Tturg,d,c
2252_190157_C_R3_4of5_Tturg_1x1_l_c,2252,Nikon,1x,1,190157,C,R3,Base,4of5,Internal,Tturg,l,c
2253_190157_C_R3_4of5_Tturg_1x1_p_c,2253,Nikon,1x,1,190157,C,R3,Base,4of5,Internal,Tturg,p,c
2254_190157_C_R8_1of6_Tturg_1x1_d_c,2254,Nikon,1x,1,190157,C,R8,Mid,1of6,External,Tturg,d,c
2255_190157_C_R8_1of6_Tturg_1x1_l_c,2255,Nikon,1x,1,190157,C,R8,Mid,1of6,External,Tturg,l,c
2256_190157_C_R8_1of6_Tturg_1x1_p_c,2256,Nikon,1x,1,190157,C,R8,Mid,1of6,External,Tturg,p,c
2257_190157_C_R8_2of6_Tturg_1x1_d_c,2257,Nikon,1x,1,190157,C,R8,Mid,2of6,Internal,Tturg,d,c
2258_190157_C_R8_2of6_Tturg_1x1_l_c,2258,Nikon,1x,1,190157,C,R8,Mid,2of6,Internal,Tturg,l,c
2259_190157_C_R8_5of6_Tturg_1x1_p_c,2259,Nikon,1x,1,190157,C,R8,Mid,2of6,Internal,Tturg,p,c
2260_190157_C_R8_5of6_Tturg_1x1_d_c,2260,Nikon,1x,1,190157,C,R8,Mid,5of6,Internal,Tturg,d,c
2261_190157_C_R8_5of6_Tturg_1x1_l_c,2261,Nikon,1x,1,190157,C,R8,Mid,5of6,Internal,Tturg,l,c
2262_190157_C_R8_5of6_Tturg_1x1_p_c,2262,Nikon,1x,1,190157,C,R8,Mid,5of6,Internal,Tturg,p,c
2263_190157_C_R13_1of2_Tturg_1x1_d_c,2263,Nikon,1x,1,190157,C,R13,Top,1of2,External,Tturg,d,c
2264_190157_C_R13_1of2_Tturg_1x1_l_c,2264,Nikon,1x,1,190157,C,R13,Top,1of2,External,Tturg,l,c
2265_190157_C_R13_1of2_Tturg_1x1_p_c,2265,Nikon,1x,1,190157,C,R13,Top,1of2,External,Tturg,p,c
2266_190157_C_R13_2of2_Tturg_1x1_d_c,2266,Nikon,1x,1,190157,C,R13,Top,2of2,External,Tturg,d,c
2267_190157_C_R13_2of2_Tturg_1x1_l_c,2267,Nikon,1x,1,190157,C,R13,Top,2of2,External,Tturg,l,c
2268_190157_C_R13_2of2_Tturg_1x1_p_c,2268,Nikon,1x,1,190157,C,R13,Top,2of2,External,Tturg,p,c
2269_190157_C_R14_1of1_Tturg_1x1_d_c,2269,Nikon,1x,1,190157,C,R14,Top,1of1,Solo,Tturg,d,c
2270_190157_C_R14_1of1_Tturg_1x1_l_c,2270,Nikon,1x,1,190157,C,R14,Top,1of1,Solo,Tturg,l,c
2271_190157_C_R14_1of1_Tturg_1x1_p_c,2271,Nikon,1x,1,190157,C,R14,Top,1of1,Solo,Tturg,p,c
2515_TRI8005_A_R1_1of3_Tdur_1x1_d_c,2515,Nikon,1x,1,TRI8005,A,R1,Base,1of3,External,Tdur,d,c
2516_TRI8005_A_R1_1of3_Tdur_1x1_l_c,2516,Nikon,1x,1,TRI8005,A,R1,Base,1of3,External,Tdur,l,c
2517_TRI8005_A_R1_1of3_Tdur_1x1_p_c,2517,Nikon,1x,1,TRI8005,A,R1,Base,1of3,External,Tdur,p,c
2518_TRI8005_A_R1_2of3_Tdur_1x1_d_c,2518,Nikon,1x,1,TRI8005,A,R1,Base,2of3,Internal,Tdur,d,c
2519_TRI8005_A_R1_2of3_Tdur_1x1_l_c,2519,Nikon,1x,1,TRI8005,A,R1,Base,2of3,Internal,Tdur,l,c
2520_TRI8005_A_R1_2of3_Tdur_1x1_p_c,2520,Nikon,1x,1,TRI8005,A,R1,Base,2of3,Internal,Tdur,p,c
2521_TRI8005_A_R1_3of3_Tdur_1x1_d_c,2521,Nikon,1x,1,TRI8005,A,R1,Base,3of3,External,Tdur,d,c
2522_TRI8005_A_R1_3of3_Tdur_1x1_l_c,2522,Nikon,1x,1,TRI8005,A,R1,Base,3of3,External,Tdur,l,c
2523_TRI8005_A_R1_3of3_Tdur_1x1_p_c,2523,Nikon,1x,1,TRI8005,A,R1,Base,3of3,External,Tdur,p,c
2524_TRI8005_A_R9_1of2_Tdur_1x1_d_c,2524,Nikon,1x,1,TRI8005,A,R9,Mid,1of2,External,Tdur,d,c
2525_TRI8005_A_R9_1of2_Tdur_1x1_l_c,2525,Nikon,1x,1,TRI8005,A,R9,Mid,1of2,External,Tdur,l,c
2526_TRI8005_A_R9_1of2_Tdur_1x1_p_c,2526,Nikon,1x,1,TRI8005,A,R9,Mid,1of2,External,Tdur,p,c
2527_TRI8005_A_R9_2of2_Tdur_1x1_d_c,2527,Nikon,1x,1,TRI8005,A,R9,Mid,2of2,External,Tdur,d,c
2528_TRI8005_A_R9_2of2_Tdur_1x1_l_c,2528,Nikon,1x,1,TRI8005,A,R9,Mid,2of2,External,Tdur,l,c
2529_TRI8005_A_R9_2of2_Tdur_1x1_p_c,2529,Nikon,1x,1,TRI8005,A,R9,Mid,2of2,External,Tdur,p,c
2530_TRI8005_A_R10_2of3_Tdur_1x1_d_c,2530,Nikon,1x,1,TRI8005,A,R10,Mid,2of3,Internal,Tdur,d,c
2531_TRI8005_A_R10_2of3_Tdur_1x1_l_c,2531,Nikon,1x,1,TRI8005,A,R10,Mid,2of3,Internal,Tdur,l,c
2532_TRI8005_A_R10_2of3_Tdur_1x1_p_c,2532,Nikon,1x,1,TRI8005,A,R10,Mid,2of3,Internal,Tdur,p,c
2533_TRI8005_A_R17_2of2_Tdur_1x1_d_c,2533,Nikon,1x,1,TRI8005,A,R17,Top,2of2,External,Tdur,d,c
2534_TRI8005_A_R17_2of2_Tdur_1x1_l_c,2534,Nikon,1x,1,TRI8005,A,R17,Top,2of2,External,Tdur,l,c
2535_TRI8005_A_R17_2of2_Tdur_1x1_p_c,2535,Nikon,1x,1,TRI8005,A,R17,Top,2of2,External,Tdur,p,c
2536_TRI8005_A_R18_1of2_Tdur_1x1_d_c,2536,Nikon,1x,1,TRI8005,A,R18,Top,1of2,External,Tdur,d,c
2537_TRI8005_A_R18_1of2_Tdur_1x1_l_c,2537,Nikon,1x,1,TRI8005,A,R18,Top,1of2,External,Tdur,l,c
