Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1150_TRI8005_C_R15_1of2_Tdur_1x1_d_uc,1150,Nikon,1x,1,TRI8005,C,R15,Mid,1of2,External,Tdur,d,uc
1151_TRI8005_C_R15_1of2_Tdur_1x1_l_uc,1151,Nikon,1x,1,TRI8005,C,R15,Mid,1of2,External,Tdur,l,uc
1152_TRI8005_C_R15_1of2_Tdur_1x1_p_uc,1152,Nikon,1x,1,TRI8005,C,R15,Mid,1of2,External,Tdur,p,uc
1153_TRI8005_C_R15_2of2_Tdur_1x1_d_uc,1153,Nikon,1x,1,TRI8005,C,R15,Top,2of2,External,Tdur,d,uc
1154_TRI8005_C_R15_2of2_Tdur_1x1_l_uc,1154,Nikon,1x,1,TRI8005,C,R15,Top,2of2,External,Tdur,l,uc
1155_TRI8005_C_R15_2of2_Tdur_1x1_p_uc,1155,Nikon,1x,1,TRI8005,C,R15,Top,2of2,External,Tdur,p,uc
1156_TRI8005_C_R16_1of1_Tdur_1x1_d_uc,1156,Nikon,1x,1,TRI8005,C,R16,Top,1of1,Solo,Tdur,d,uc
1157_TRI8005_C_R16_1of1_Tdur_1x1_l_uc,1157,Nikon,1x,1,TRI8005,C,R16,Top,1of1,Solo,Tdur,l,uc
1158_TRI8005_C_R16_1of1_Tdur_1x1_p_uc,1158,Nikon,1x,1,TRI8005,C,R16,Top,1of1,Solo,Tdur,p,uc
1159_TRI8005_C_R8_2of3_Tdur_1x1_d_uc,1159,Nikon,1x,1,TRI8005,C,R8,Top,2of3,Internal,Tdur,d,uc
1160_TRI8005_C_R8_2of3_Tdur_1x1_l_uc,1160,Nikon,1x,1,TRI8005,C,R8,Top,2of3,Internal,Tdur,l,uc
1161_TRI8005_C_R8_2of3_Tdur_1x1_p_uc,1161,Nikon,1x,1,TRI8005,C,R8,Top,2of3,Internal,Tdur,p,uc
1270_USDA190157_A_R1_1of4_Tturg_1x1_d_uc,1270,Nikon,1x,1,USDA190157,A,R1,Base,1of4,External,Tturg,d,uc
1271_USDA190157_A_R1_1of4_Tturg_1x1_l_uc,1271,Nikon,1x,1,USDA190157,A,R1,Base,1of4,External,Tturg,l,uc
1272_USDA190157_A_R1_1of4_Tturg_1x1_p_uc,1272,Nikon,1x,1,USDA190157,A,R1,Base,1of4,External,Tturg,p,uc
1273_USDA190157_A_R1_2of4_Tturg_1x1_d_uc,1273,Nikon,1x,1,USDA190157,A,R1,Base,2of4,Internal,Tturg,d,uc
1274_USDA190157_A_R1_2of4_Tturg_1x1_l_uc,1274,Nikon,1x,1,USDA190157,A,R1,Base,2of4,Internal,Tturg,l,uc
1275_USDA190157_A_R1_2of4_Tturg_1x1_p_uc,1275,Nikon,1x,1,USDA190157,A,R1,Base,2of4,Internal,Tturg,p,uc
1276_USDA190157_A_R1_3of4_Tturg_1x1_d_uc,1276,Nikon,1x,1,USDA190157,A,R1,Base,3of4,Internal,Tturg,d,uc
1277_USDA190157_A_R1_3of4_Tturg_1x1_l_uc,1277,Nikon,1x,1,USDA190157,A,R1,Base,3of4,Internal,Tturg,l,uc
1278_USDA190157_A_R1_3of4_Tturg_1x1_p_uc,1278,Nikon,1x,1,USDA190157,A,R1,Base,3of4,Internal,Tturg,p,uc
